algorithm,array_type,n,avg_time_us,avg_char_comparisons
mergeSort,random,2400,243.708,33875
TernaryQuickSort,random,2400,4603.86,45931
StringMergeSort,random,2400,175.306,21651
MSDRadixSort,random,2400,1279.08,5643
MSBRadixSort,random,2400,2229.65,21381
quickSort,reverse,2400,150.694,84604
mergeSort,reverse,2400,121.319,19690
TernaryQuickSort,reverse,2400,18419.5,131521
StringMergeSort,reverse,2400,85.5413,8667
MSDRadixSort,reverse,2400,1253.61,5600
MSBRadixSort,reverse,2400,5180.31,39710
quickSort,almost,2400,170.611,100650
mergeSort,almost,2400,139.542,29789
TernaryQuickSort,almost,2400,7925.1,100004
StringMergeSort,almost,2400,106.361,11055
MSDRadixSort,almost,2400,1499.75,5674
MSBRadixSort,almost,2400,4673.62,61117
quickSort,random,2500,187.653,83685
mergeSort,random,2500,231.875,35736
TernaryQuickSort,random,2500,4566.94,43691
StringMergeSort,random,2500,248.292,22852
MSDRadixSort,random,2500,1351.31,5874
MSBRadixSort,random,2500,2353.24,22680
quickSort,reverse,2500,125.556,87291
mergeSort,reverse,2500,147.722,20537
TernaryQuickSort,reverse,2500,20736.3,138413
StringMergeSort,reverse,2500,86.0833,8940
MSDRadixSort,reverse,2500,1380.78,5878
MSBRadixSort,reverse,2500,5722.08,42347
quickSort,almost,2500,182.861,145099
mergeSort,almost,2500,142.056,30858
TernaryQuickSort,almost,2500,8030.62,97360
StringMergeSort,almost,2500,104.431,11539
MSDRadixSort,almost,2500,1415.97,5915
MSBRadixSort,almost,2500,4712.62,63482
quickSort,random,2600,191.625,84970
mergeSort,random,2600,243.361,37441
TernaryQuickSort,random,2600,5268.88,50080
StringMergeSort,random,2600,204.167,23745
MSDRadixSort,random,2600,1436.29,6148
MSBRadixSort,random,2600,2429.89,24193
quickSort,reverse,2600,138.736,88863
mergeSort,reverse,2600,139.68,21555
TernaryQuickSort,reverse,2600,21474.3,142023
StringMergeSort,reverse,2600,98.0973,9405
MSDRadixSort,reverse,2600,1399.67,6114
MSBRadixSort,reverse,2600,6537.89,45236
quickSort,almost,2600,154.417,121336
mergeSort,almost,2600,137.973,31366
TernaryQuickSort,almost,2600,8654.58,105560
StringMergeSort,almost,2600,104,11792
MSDRadixSort,almost,2600,1491.89,6172
MSBRadixSort,almost,2600,4624.92,69200
quickSort,random,2700,191.792,86923
mergeSort,random,2700,241.25,39105
TernaryQuickSort,random,2700,4896.18,47938
StringMergeSort,random,2700,203.5,24765
MSDRadixSort,random,2700,1459.68,6385
MSBRadixSort,random,2700,2468,25345
quickSort,reverse,2700,136.208,87250
mergeSort,reverse,2700,154.625,22486
TernaryQuickSort,reverse,2700,21025.6,150052
StringMergeSort,reverse,2700,96.347,9754
MSDRadixSort,reverse,2700,1637,6472
MSBRadixSort,reverse,2700,5937.39,47240
quickSort,almost,2700,154.306,111268
mergeSort,almost,2700,158.695,34076
TernaryQuickSort,almost,2700,8141.86,104684
StringMergeSort,almost,2700,115.861,12614
MSDRadixSort,almost,2700,1643.79,6505
MSBRadixSort,almost,2700,4804.1,69282
quickSort,random,2800,215.167,93602
mergeSort,random,2800,267.319,40921
TernaryQuickSort,random,2800,5112.58,54985
StringMergeSort,random,2800,211.708,25898
MSDRadixSort,random,2800,1585.32,6701
MSBRadixSort,random,2800,2691.85,26248
quickSort,reverse,2800,137.764,95326
mergeSort,reverse,2800,155.278,23476
TernaryQuickSort,reverse,2800,22084.3,159054
StringMergeSort,reverse,2800,109.486,10080
MSDRadixSort,reverse,2800,1566.61,6717
MSBRadixSort,reverse,2800,6949.76,50554
quickSort,almost,2800,166.236,112788
mergeSort,almost,2800,176.653,35259
TernaryQuickSort,almost,2800,8560.86,113504
StringMergeSort,almost,2800,116.916,13162
MSDRadixSort,almost,2800,1606.01,6696
MSBRadixSort,almost,2800,5292.26,75254
quickSort,random,2900,232,98047
mergeSort,random,2900,272.667,42646
TernaryQuickSort,random,2900,5184.92,54808
StringMergeSort,random,2900,243.93,26774
MSDRadixSort,random,2900,1697,6996
MSBRadixSort,random,2900,2755.82,28137
quickSort,reverse,2900,142.014,101989
mergeSort,reverse,2900,153.417,24628
TernaryQuickSort,reverse,2900,22837.6,162401
StringMergeSort,reverse,2900,106.653,10598
MSDRadixSort,reverse,2900,1825.01,7016
MSBRadixSort,reverse,2900,7313.89,53488
quickSort,almost,2900,174.917,137349
mergeSort,almost,2900,172.236,36925
